recipe_id,product_id,quantity,measure
0,0,1,
0,1,5,łyżka
0,2,200,gram
0,3,,
0,4,,
1,5,250,gram
1,6,1,litr
1,7,100,gram
1,8,,
1,9,1,
1,4,1,szczypta
1,10,500,gram
1,11,5,kostka
2,12,3,
2,13,1,słoik
2,14,150,gram
2,15,4,łyżka
2,16,300,gram
2,17,150,gram
2,18,4,łyżka
2,19,2,łyżeczka
3,20,400,gram
3,21,1/4,
3,22,2,łyżka
3,23,1/2,łyżeczka
3,4,,
3,24,,
3,7,2,łyżka
3,25,3,łyżka
3,26,2,
3,27,1,łyżeczka
3,28,1,łyżka
4,29,200,gram
4,30,2,porcja
4,31,1,
4,4,,
4,24,,
4,32,,
4,9,,
4,33,2,łyżka
4,34,3,
4,15,1,łyżka
5,35,340,gram
5,36,1,łyżka
5,37,2,łyżeczka
5,4,1,szczypta
5,7,25,gram
5,38,175,gram
5,1,50,gram
5,34,2,
5,39,1,łyżeczka
6,0,1/2,
6,5,500,gram
6,40,15,gram
6,26,10,gram
6,41,5,gram
6,1,2,łyżki
6,42,2,łyżka
6,4,1/2,łyżeczka
6,1,1,łyżka
6,43,2,łyżka
6,44,300,mililitr
7,5,1,szklanka
7,45,400,mililitr
7,46,1,
7,7,4,łyżka
7,47,1,
7,48,1,
7,8,,
7,49,3,łyżka
8,33,75,gram
8,50,75,gram
8,51,400,mililitr
8,47,1,
8,52,1,szklanka
9,53,200,mililitr
9,54,100,mililitr
9,55,,
9,48,1,
10,1,15,mililitr
10,56,40,gram
10,44,40,mililitr
10,57,60,gram
10,58,150,gram
10,45,160,mililitr
10,59,20,gram
10,60,5,gram
11,61,2,
11,0,300,gram
11,62,150,gram
11,63,4,szklanka
11,33,2,łyżka
11,42,4,łyżka
11,7,1,łyżeczka
11,9,,
12,64,250,gram
12,65,500,gram
12,66,250,gram
12,67,2,
12,68,1,
12,69,1/2,
12,70,3,
12,71,1,
12,26,1,
12,23,1,ząbek
12,72,4,
12,73,1,łyżka
13,64,1,szklanka
13,74,500,mililitr
13,75,2,
13,32,1,łyżka
13,26,1,
13,76,2,łyżka
13,4,,
13,24,,
13,30,1,garść
13,77,3,łyżka
13,78,1,łyżeczka
13,23,1/2,ząbek
14,79,200,gram
14,1,2,łyżka
14,80,50,gram
14,81,50,gram
14,82,1/2,
14,29,50,gram
14,83,2,łyżka
14,42,2,łyżka
14,40,1,łyżeczka
14,4,,
15,84,400,gram
15,23,6,ząbek
15,85,250,gram
15,42,4,łyżka
15,1,3,łyżka
15,27,1,łyżka
15,86,3,łyżka
15,15,3,łyżka
16,87,4,łyżka
16,88,10,łyżka
16,89,2,saszetka
16,6,250,mililitr
16,90,4,łyżka
17,91,12,
17,92,4,
17,93,125,mililitr
17,48,2,
17,46,1,
17,60,1/2,
17,94,1,
