id,name,vegetarian,vegan,allergic,gluten,exp_date_days,freq,quant
0,kurczak,0,0,0,0,3,,
1,olej,9,9,0,0,100,,
2,cebulka,9,9,0,0,12,,
3,przyprawa do drobiu,9,9,0,0,10000,,
4,sól,9,9,0,0,10000,,
5,ryż,9,9,0,0,90,,
6,mleko,9,0,9,0,15,,
7,cukier,9,9,0,0,10000,,
8,mięta,9,9,0,0,2,,
9,cytryna,9,9,0,0,4,,
10,truskawka,9,9,9,0,2,,
11,czekolada,9,0,9,0,30,,
12,tortilla pszenna,9,0,0,9,10,,
13,tuńczyk w oliwie,0,0,0,0,2,,
14,kukurydza,9,9,0,0,2,,
15,szczypiorek,9,9,0,0,2,,
16,marynowana ostra papryczka,9,9,0,0,10,,
17,mozzarella,9,0,9,0,10,,
18,majonez,9,0,9,0,10,,
19,musztarda,9,9,0,0,10,,
20,pomidor,9,9,0,0,2,,
21,papryka,9,9,0,0,10,,
22,marynowana papryka jalapeño,9,9,0,0,10,,
23,czosnek,9,9,0,0,2,,
24,pieprz,9,9,0,0,10000,,
25,ocet,9,9,0,0,10000,,
26,cebula,9,9,0,0,10,,
27,mąka ziemniaczana,9,9,0,0,100,,
28,kolendra,9,9,0,0,10000,,
29,tofu,9,9,0,0,10,,
30,rukola,9,9,0,0,10,,
31,awokado,9,9,0,0,10,,
32,oliwa,9,9,0,0,30,,
33,masło,9,0,9,0,10,,
34,jajko,9,0,9,0,10,,
35,mąka z orzechów,9,9,9,0,100,,
36,cynamon,9,9,0,0,10000,,
37,soda oczyszczona,9,9,0,0,10000,,
38,mus jabłkowy,9,9,0,0,10,,
39,cukier waniliowy,9,9,0,0,10000,,
40,imbir,9,9,0,0,10000,,
41,jagoda goji,9,9,0,0,10,,
42,sos sojowy,9,9,0,0,10,,
43,wódka,9,9,0,0,10000,,
44,woda,9,9,0,0,10000,,
45,mleczko kokosowe,9,9,0,0,10,,
46,limonka,9,9,0,0,10,,
47,laska wanilii,9,9,0,0,10000,,
48,mango,9,9,0,0,10,,
49,biały sezam,9,9,9,0,10000,,
50,mąka orkiszowa,9,9,0,0,100,,
51,bita śmietana,9,0,0,0,10,,
52,puree z mango,9,9,0,0,10,,
53,napój z mango,9,9,0,0,10,,
54,zielona herbata,9,9,0,0,10000,,
55,lód,9,9,0,0,10,,
56,pasta curry,9,9,0,0,10,,
57,bakłażan,9,9,0,0,10,,
58,polędwica wołowa,0,0,0,0,10,,
59,liść bazylii,9,9,0,0,10000,,
60,papryczka chili,9,9,0,0,10,,
61,por,9,9,0,0,10,,
62,makaron udong,9,0,0,9,100,,
