name,vegetarian,vegan,allergic,gluten,exp_date_days,price,id,Klasa,Kategoria
alga,TRUE,TRUE,FALSE,FALSE,10,5,174,inne,
awokado,TRUE,TRUE,FALSE,FALSE,10,5,31,owoc,
bakłażan,TRUE,TRUE,FALSE,FALSE,10,4,57,warzywo,
bazylia,TRUE,TRUE,FALSE,FALSE,10000,1,187,przyprawa,
białe wino,TRUE,TRUE,FALSE,FALSE,10000,1,93,napój,alkohol
biały sezam,TRUE,TRUE,TRUE,FALSE,10000,1,49,bakalie,
bita śmietana,TRUE,FALSE,FALSE,FALSE,10,4,51,nabiał,
boczek,FALSE,FALSE,FALSE,FALSE,10,5,66,mięso,
brokuł,TRUE,TRUE,FALSE,FALSE,10,5,103,warzywo,
bulion,FALSE,FALSE,FALSE,FALSE,10,5,74,inne,
bulion mięsny,FALSE,FALSE,FALSE,FALSE,10,4,63,inne,
bułka do burgerów,TRUE,FALSE,FALSE,FALSE,10,5,172,zbożowe,
cebula,TRUE,TRUE,FALSE,FALSE,10,5,26,warzywo,cebula
cebulka,TRUE,TRUE,FALSE,FALSE,12,4,2,warzywo,cebula
chińska kapusta,TRUE,TRUE,FALSE,FALSE,10,4,122,warzywo,kapusta
chleb,TRUE,FALSE,FALSE,TRUE,10,4,170,zbożowe,
ciabatta,TRUE,FALSE,FALSE,TRUE,10,4,167,zbożowe,
ciecierzyca,TRUE,TRUE,FALSE,FALSE,10,4,165,zboże,
cukier,TRUE,TRUE,FALSE,FALSE,10000,1,7,przyprawa,
cukier waniliowy,TRUE,TRUE,FALSE,FALSE,10000,1,39,przyprawa,
cukinia,TRUE,TRUE,FALSE,FALSE,10,4,171,warzywo,
cynamon,TRUE,TRUE,FALSE,FALSE,10000,1,36,przyprawa,
cytryna,TRUE,TRUE,FALSE,FALSE,4,10,9,owoc,
czekolada,TRUE,FALSE,TRUE,FALSE,30,2,11,słodycz,czekolada
czerwona papryka,TRUE,TRUE,FALSE,FALSE,10,5,104,warzywo,
czosnek,TRUE,TRUE,FALSE,FALSE,2,17,23,warzywo,
dorsz,FALSE,FALSE,FALSE,FALSE,10,5,131,owoc morza,
drożdże,TRUE,FALSE,FALSE,FALSE,10,4,153,inne,
fasola,TRUE,TRUE,FALSE,FALSE,10,5,64,strączkowe,fasola
fasola czerwona,TRUE,TRUE,FALSE,FALSE,10,4,80,strączkowe,fasola
fasolka biała,TRUE,TRUE,FALSE,FALSE,10,6,139,strączkowe,fasola
fasolka szparagowa,TRUE,TRUE,FALSE,FALSE,10,4,119,strączkowe,fasola
gorzka czekolada,TRUE,FALSE,FALSE,FALSE,10,5,182,słodycz,czekolada
groszek cukrowy,TRUE,TRUE,FALSE,FALSE,10,4,111,strączkowe,
grzyb shiitake,TRUE,TRUE,FALSE,FALSE,10,4,179,grzyb,
herbata malinowa,TRUE,TRUE,FALSE,FALSE,10,4,89,przyprawa,
imbir,TRUE,TRUE,FALSE,FALSE,10000,1,40,przyprawa,
jagoda goji,TRUE,TRUE,FALSE,FALSE,10,5,41,przyprawa,
jajko,TRUE,FALSE,TRUE,FALSE,10,4,34,inne,
jogurt naturalny,TRUE,FALSE,FALSE,FALSE,10,4,154,nabiał,
kacze udko,FALSE,FALSE,FALSE,FALSE,10,4,92,mięso,
kakao,TRUE,TRUE,FALSE,FALSE,10,5,151,przyprawa,
kalmar,FALSE,FALSE,FALSE,FALSE,10,5,137,owoc morza,
kasztan jadalny,TRUE,TRUE,FALSE,FALSE,10,4,102,owoc,
kiełbaska chorizo,FALSE,FALSE,FALSE,FALSE,10,4,138,mięso,kiełbasa
kiełki,TRUE,TRUE,FALSE,FALSE,10,4,145,warzywo,
kmin rzymski,TRUE,TRUE,FALSE,FALSE,10,5,166,przyprawa,
kolendra,TRUE,TRUE,FALSE,FALSE,10000,1,28,przyprawa,
konfitura malinowa,TRUE,TRUE,FALSE,FALSE,10,5,190,słodycz,
krem balsamiczny,TRUE,TRUE,FALSE,FALSE,10,4,146,przyprawa,
krewetka,FALSE,FALSE,FALSE,FALSE,10,5,97,owoc morza,
kukurydza,TRUE,TRUE,FALSE,FALSE,2,15,14,warzywo,
kurczak,FALSE,FALSE,FALSE,FALSE,3,11,0,mięso,drób
kurka,TRUE,TRUE,FALSE,FALSE,10,5,130,grzyb,
